drawing,model,tier,score,page_idx,pdf_path
304-41476,ONG,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\304-41476_A133_PIN\304-41476 A133 PIN.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\304-41476_A133_PIN\工程表 304-41476 A133 PIN.pdf
306-37879,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\306-37879_M-118_WEIGHT\306-37879_M118_WEIGHT.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\307-10268_C-004_HUB\20250127145708375.pdf
309-42810,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-42810_A-211_SPACER\309-42810_A211_SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-42810_A-211_SPACER\工程表_309-42810_A211_SPACER.pdf
309-46619,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-46619_A-126_RETAINER\309-46619 A126 RETAINER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-46619_A-126_RETAINER\工程表 309-46619 A126 RETAINER.pdf
309-66175,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER\309-66175 A124 SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER\工程表 306-66175 A124B SPACER.pdf
309-66175,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER_AE070001-00\309-66175_A124_SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER_AE070001-00\工程表_309-66175_A124b_SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER_AE070001-00\注文書.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-66175_A124_SPACER_AE070001-00\見積書07.01.23_(A-124、B-040).pdf
309-86886,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-86886_B-040_NUT RETAINER_AE070002-00\309-86886_B040_NUT RETAINER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-86886_B-040_NUT RETAINER_AE070002-00\NUT RETAINER_(SPECIAL_ADOPTION).pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-86886_B-040_NUT RETAINER_AE070002-00\ポンチ.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-86886_B-040_NUT RETAINER_AE070002-00\工程表_309-86886_B040_NUT RETAINER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-86886_B-040_NUT RETAINER_AE070002-00\工程表確認依頼.pdf
309-88376,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-88376_A-124_SPACER\309-88376 A124 SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-88376_A-124_SPACER\工程表 309-88376 A124 SPACER.pdf
309-88378,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-88378_A-139_SPACER\309-88378 A139 SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-88378_A-139_SPACER\工程表 309-88378 A139 SPACER.pdf
309-92338,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-92338_A-204_SPACER\309-92338_A204_SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\309-92338_A-204_SPACER\工程表_309-92338_A204_SPACER.pdf
313-11476,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-11476_B-040_NUT RETAINER\313-11476 B040 NUT RETAINER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-11476_B-040_NUT RETAINER\工程表 313-11476 B040E NUT RETAINER.pdf
313-11701,DWE,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-11701_A105 BOSS\313-11701 A105 BOSS.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-11701_A105 BOSS\工程表 313-11701 A105 BOSS.pdf
313-12673,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-12673_A-110_CON.ROD\313-12673_A110_CON.ROD.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\313-12673_A-110_CON.ROD\工程表_313-12673_A110_CON ROD.pdf
358-17466,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\358-17466_A-124_END PLATE\358-17466_A124_END PLATE.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\358-17466_A-124_END PLATE\工程表_358-17466_A124_END PLATE.pdf
402-04745,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43901C_BLOCK\402-04745_S43901C_BLOCK.pdf
402-04748,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43901_BLOCK\402-04748_S43901_BLOCK.pdf
402-04775,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43902_BLOCK\402-04775_S43902_BLOCK.pdf
,COUAA,0,30,2,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-11764_A-116_REAMER BOLT\20250130182037087.pdf
406-17664,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-17664_Q-117_BLOCK\406-17664_Q117_BLOCK.pdf
406-60626,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-60626_A-143_PIN\406-60626_A143_PIN.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-60626_A-143_PIN\工程表_406-60626_A143_PIN.pdf
407-52904,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\407-52904_B-059_BASE\407-52904_B059_BASE.pdf
408-21592,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\408-21592_M-116_PULLEY\408-21592_M116_PULLEY.pdf
409-84397,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-84397_B-083_SPACER\409-84397_B083_SPACER.pdf
409-85335,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-85335_A129_SPACER\409-85335 A129 SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-85335_A129_SPACER\工程表 409-85335 A129 SPACER.pdf
409-85336,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-85336_A-130_SPACER\409-85336 A130 SPACER.pdf
,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-85336_A-130_SPACER\工程表 409-85336 A130 SPACER.pdf
409-87770,共通,2,-10000,,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-87770_B-077_SPACER\409-87770_B077_SPACER.pdf
