drawing,model,tier,score,page_idx,pdf_path
402-04748,V-5,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43901_BLOCK\402-04748_S43901_BLOCK.pdf
402-04775,BLOCK(L-RET/4),0,55,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\402-04748_S-43902_BLOCK\402-04775_S43902_BLOCK.pdf
406-17664,CRY,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-17664_Q-117_BLOCK\406-17664_Q117_BLOCK.pdf
406-60626,EI2024-10,0,41,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\406-60626_A-143_PIN\406-60626_A143_PIN.pdf
407-52904,M10,1,35,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\407-52904_B-059_BASE\407-52904_B059_BASE.pdf
408-21592,R740,1,35,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\408-21592_M-116_PULLEY\408-21592_M116_PULLEY.pdf
409-84397,B-083,1,39,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-84397_B-083_SPACER\409-84397_B083_SPACER.pdf
409-85335,SPACE,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-85335_A129_SPACER\409-85335 A129 SPACER.pdf
409-85336,SPACE,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-85336_A-130_SPACER\409-85336 A130 SPACER.pdf
409-87770,SPACE,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-87770_B-077_SPACER\409-87770_B077_SPACER.pdf
409-95412,SSA,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\409-95412_M-915_JOINT\409-95412.pdf
413-21586,P78,0,37,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\413-21586_A-231_BLOCK\413-21586_A231_BLOCK.pdf
413-25079,AG2008,0,37,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\413-25079_A-215_BLOCK\413-25079_A215_BLOCK.pdf
414-12710,SL-2500,0,41,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\414-12710_A-210_BLOCK\414-12710_A210_BLOCK.pdf
430-12600,SS400-D,0,41,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\430-12600_A-736_LOWER PLATE\430-12600.pdf
458-27591,THRU(K/),1,43,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\458-27591_B-045_CASE\458-27591.pdf
458-27592,PE,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\458-27592_B-046_CASE\458-27592.pdf
509-37290,WASHE,0,30,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\509-37290_A021_WASHER\509-37290_A021_WASHER.pdf
509-44251,S82,0,37,1,Z:\takachiho\2to9_業務別フォルダ\30_メーカー資料\あ行(あいうえお)\アイダエンジニアリング\調達\509-44251_Y005_WASHER\509-44251_Y005_WASHER.pdf
